strategy,perturbation,level,match,run
kmeans_20,additive_noise,0.01,0.115,0
kmeans_20,additive_noise,0.03,0.115,0
kmeans_20,additive_noise,0.06,0.115,0
kmeans_20,additive_noise,0.1,0.115,0
kmeans_20,additive_noise,0.2,0.11,0
kmeans_20,additive_noise,0.4,0.115,0
kmeans_20,additive_noise,0.8,0.125,0
kmeans_20,directional_shift,0.01,0.115,0
kmeans_20,directional_shift,0.03,0.115,0
kmeans_20,directional_shift,0.06,0.115,0
kmeans_20,directional_shift,0.1,0.115,0
kmeans_20,directional_shift,0.2,0.12,0
kmeans_20,directional_shift,0.4,0.12,0
kmeans_20,directional_shift,0.8,0.12,0
kmeans_20,centroid_dropout,0.05,0.115,0
kmeans_20,centroid_dropout,0.1,0.115,0
kmeans_20,centroid_dropout,0.2,0.115,0
kmeans_20,centroid_dropout,0.35,0.115,0
kmeans_20,centroid_dropout,0.5,0.125,0
kmeans_20,centroid_dropout,0.7,0.095,0
kmeans_20,centroid_dropout,0.9,0.28,0
y_aware_w5.0,additive_noise,0.01,0.51,0
y_aware_w5.0,additive_noise,0.03,0.515,0
y_aware_w5.0,additive_noise,0.06,0.52,0
y_aware_w5.0,additive_noise,0.1,0.565,0
y_aware_w5.0,additive_noise,0.2,0.505,0
y_aware_w5.0,additive_noise,0.4,0.475,0
y_aware_w5.0,additive_noise,0.8,0.445,0
y_aware_w5.0,directional_shift,0.01,0.5,0
y_aware_w5.0,directional_shift,0.03,0.505,0
y_aware_w5.0,directional_shift,0.06,0.5,0
y_aware_w5.0,directional_shift,0.1,0.505,0
y_aware_w5.0,directional_shift,0.2,0.505,0
y_aware_w5.0,directional_shift,0.4,0.48,0
y_aware_w5.0,directional_shift,0.8,0.47,0
y_aware_w5.0,centroid_dropout,0.05,0.5,0
y_aware_w5.0,centroid_dropout,0.1,0.485,0
y_aware_w5.0,centroid_dropout,0.2,0.515,0
y_aware_w5.0,centroid_dropout,0.35,0.445,0
y_aware_w5.0,centroid_dropout,0.5,0.485,0
y_aware_w5.0,centroid_dropout,0.7,0.445,0
y_aware_w5.0,centroid_dropout,0.9,0.46,0
per_action_kmeans,additive_noise,0.01,0.615,0
per_action_kmeans,additive_noise,0.03,0.58,0
per_action_kmeans,additive_noise,0.06,0.575,0
per_action_kmeans,additive_noise,0.1,0.56,0
per_action_kmeans,additive_noise,0.2,0.475,0
per_action_kmeans,additive_noise,0.4,0.475,0
per_action_kmeans,additive_noise,0.8,0.48,0
per_action_kmeans,directional_shift,0.01,0.59,0
per_action_kmeans,directional_shift,0.03,0.585,0
per_action_kmeans,directional_shift,0.06,0.585,0
per_action_kmeans,directional_shift,0.1,0.585,0
per_action_kmeans,directional_shift,0.2,0.59,0
per_action_kmeans,directional_shift,0.4,0.56,0
per_action_kmeans,directional_shift,0.8,0.6,0
per_action_kmeans,centroid_dropout,0.05,0.565,0
per_action_kmeans,centroid_dropout,0.1,0.585,0
per_action_kmeans,centroid_dropout,0.2,0.565,0
per_action_kmeans,centroid_dropout,0.35,0.5,0
per_action_kmeans,centroid_dropout,0.5,0.445,0
per_action_kmeans,centroid_dropout,0.7,0.53,0
per_action_kmeans,centroid_dropout,0.9,0.46,0
nomemory,additive_noise,0.01,0.445,0
nomemory,additive_noise,0.03,0.445,0
nomemory,additive_noise,0.06,0.445,0
nomemory,additive_noise,0.1,0.445,0
nomemory,additive_noise,0.2,0.445,0
nomemory,additive_noise,0.4,0.445,0
nomemory,additive_noise,0.8,0.445,0
nomemory,directional_shift,0.01,0.445,0
nomemory,directional_shift,0.03,0.445,0
nomemory,directional_shift,0.06,0.445,0
nomemory,directional_shift,0.1,0.445,0
nomemory,directional_shift,0.2,0.445,0
nomemory,directional_shift,0.4,0.445,0
nomemory,directional_shift,0.8,0.445,0
nomemory,centroid_dropout,0.05,0.445,0
nomemory,centroid_dropout,0.1,0.445,0
nomemory,centroid_dropout,0.2,0.445,0
nomemory,centroid_dropout,0.35,0.445,0
nomemory,centroid_dropout,0.5,0.445,0
nomemory,centroid_dropout,0.7,0.445,0
nomemory,centroid_dropout,0.9,0.445,0
kmeans_20,additive_noise,0.01,0.115,1
kmeans_20,additive_noise,0.03,0.12,1
kmeans_20,additive_noise,0.06,0.115,1
kmeans_20,additive_noise,0.1,0.11,1
kmeans_20,additive_noise,0.2,0.12,1
kmeans_20,additive_noise,0.4,0.12,1
kmeans_20,additive_noise,0.8,0.14,1
kmeans_20,directional_shift,0.01,0.115,1
kmeans_20,directional_shift,0.03,0.115,1
kmeans_20,directional_shift,0.06,0.115,1
kmeans_20,directional_shift,0.1,0.12,1
kmeans_20,directional_shift,0.2,0.115,1
kmeans_20,directional_shift,0.4,0.115,1
kmeans_20,directional_shift,0.8,0.13,1
kmeans_20,centroid_dropout,0.05,0.115,1
kmeans_20,centroid_dropout,0.1,0.115,1
kmeans_20,centroid_dropout,0.2,0.115,1
kmeans_20,centroid_dropout,0.35,0.095,1
kmeans_20,centroid_dropout,0.5,0.095,1
kmeans_20,centroid_dropout,0.7,0.095,1
kmeans_20,centroid_dropout,0.9,0.095,1
y_aware_w5.0,additive_noise,0.01,0.51,1
y_aware_w5.0,additive_noise,0.03,0.52,1
y_aware_w5.0,additive_noise,0.06,0.52,1
y_aware_w5.0,additive_noise,0.1,0.505,1
y_aware_w5.0,additive_noise,0.2,0.51,1
y_aware_w5.0,additive_noise,0.4,0.505,1
y_aware_w5.0,additive_noise,0.8,0.435,1
y_aware_w5.0,directional_shift,0.01,0.51,1
y_aware_w5.0,directional_shift,0.03,0.5,1
y_aware_w5.0,directional_shift,0.06,0.515,1
y_aware_w5.0,directional_shift,0.1,0.505,1
y_aware_w5.0,directional_shift,0.2,0.495,1
y_aware_w5.0,directional_shift,0.4,0.535,1
y_aware_w5.0,directional_shift,0.8,0.535,1
y_aware_w5.0,centroid_dropout,0.05,0.5,1
y_aware_w5.0,centroid_dropout,0.1,0.5,1
y_aware_w5.0,centroid_dropout,0.2,0.5,1
y_aware_w5.0,centroid_dropout,0.35,0.495,1
y_aware_w5.0,centroid_dropout,0.5,0.515,1
y_aware_w5.0,centroid_dropout,0.7,0.46,1
y_aware_w5.0,centroid_dropout,0.9,0.445,1
per_action_kmeans,additive_noise,0.01,0.595,1
per_action_kmeans,additive_noise,0.03,0.59,1
per_action_kmeans,additive_noise,0.06,0.61,1
per_action_kmeans,additive_noise,0.1,0.615,1
per_action_kmeans,additive_noise,0.2,0.545,1
per_action_kmeans,additive_noise,0.4,0.47,1
per_action_kmeans,additive_noise,0.8,0.5,1
per_action_kmeans,directional_shift,0.01,0.59,1
per_action_kmeans,directional_shift,0.03,0.585,1
per_action_kmeans,directional_shift,0.06,0.59,1
per_action_kmeans,directional_shift,0.1,0.615,1
per_action_kmeans,directional_shift,0.2,0.61,1
per_action_kmeans,directional_shift,0.4,0.585,1
per_action_kmeans,directional_shift,0.8,0.59,1
per_action_kmeans,centroid_dropout,0.05,0.585,1
per_action_kmeans,centroid_dropout,0.1,0.575,1
per_action_kmeans,centroid_dropout,0.2,0.54,1
per_action_kmeans,centroid_dropout,0.35,0.57,1
per_action_kmeans,centroid_dropout,0.5,0.53,1
per_action_kmeans,centroid_dropout,0.7,0.5,1
per_action_kmeans,centroid_dropout,0.9,0.445,1
nomemory,additive_noise,0.01,0.445,1
nomemory,additive_noise,0.03,0.445,1
nomemory,additive_noise,0.06,0.445,1
nomemory,additive_noise,0.1,0.445,1
nomemory,additive_noise,0.2,0.445,1
nomemory,additive_noise,0.4,0.445,1
nomemory,additive_noise,0.8,0.445,1
nomemory,directional_shift,0.01,0.445,1
nomemory,directional_shift,0.03,0.445,1
nomemory,directional_shift,0.06,0.445,1
nomemory,directional_shift,0.1,0.445,1
nomemory,directional_shift,0.2,0.445,1
nomemory,directional_shift,0.4,0.445,1
nomemory,directional_shift,0.8,0.445,1
nomemory,centroid_dropout,0.05,0.445,1
nomemory,centroid_dropout,0.1,0.445,1
nomemory,centroid_dropout,0.2,0.445,1
nomemory,centroid_dropout,0.35,0.445,1
nomemory,centroid_dropout,0.5,0.445,1
nomemory,centroid_dropout,0.7,0.445,1
nomemory,centroid_dropout,0.9,0.445,1
kmeans_20,additive_noise,0.01,0.115,2
kmeans_20,additive_noise,0.03,0.115,2
kmeans_20,additive_noise,0.06,0.12,2
kmeans_20,additive_noise,0.1,0.115,2
kmeans_20,additive_noise,0.2,0.12,2
kmeans_20,additive_noise,0.4,0.105,2
kmeans_20,additive_noise,0.8,0.095,2
kmeans_20,directional_shift,0.01,0.115,2
kmeans_20,directional_shift,0.03,0.115,2
kmeans_20,directional_shift,0.06,0.115,2
kmeans_20,directional_shift,0.1,0.115,2
kmeans_20,directional_shift,0.2,0.12,2
kmeans_20,directional_shift,0.4,0.115,2
kmeans_20,directional_shift,0.8,0.115,2
kmeans_20,centroid_dropout,0.05,0.115,2
kmeans_20,centroid_dropout,0.1,0.12,2
kmeans_20,centroid_dropout,0.2,0.125,2
kmeans_20,centroid_dropout,0.35,0.115,2
kmeans_20,centroid_dropout,0.5,0.095,2
kmeans_20,centroid_dropout,0.7,0.095,2
kmeans_20,centroid_dropout,0.9,0.14,2
y_aware_w5.0,additive_noise,0.01,0.515,2
y_aware_w5.0,additive_noise,0.03,0.54,2
y_aware_w5.0,additive_noise,0.06,0.48,2
y_aware_w5.0,additive_noise,0.1,0.545,2
y_aware_w5.0,additive_noise,0.2,0.475,2
y_aware_w5.0,additive_noise,0.4,0.52,2
y_aware_w5.0,additive_noise,0.8,0.5,2
y_aware_w5.0,directional_shift,0.01,0.5,2
y_aware_w5.0,directional_shift,0.03,0.505,2
y_aware_w5.0,directional_shift,0.06,0.505,2
y_aware_w5.0,directional_shift,0.1,0.505,2
y_aware_w5.0,directional_shift,0.2,0.5,2
y_aware_w5.0,directional_shift,0.4,0.52,2
y_aware_w5.0,directional_shift,0.8,0.51,2
y_aware_w5.0,centroid_dropout,0.05,0.505,2
y_aware_w5.0,centroid_dropout,0.1,0.455,2
y_aware_w5.0,centroid_dropout,0.2,0.54,2
y_aware_w5.0,centroid_dropout,0.35,0.525,2
y_aware_w5.0,centroid_dropout,0.5,0.49,2
y_aware_w5.0,centroid_dropout,0.7,0.53,2
y_aware_w5.0,centroid_dropout,0.9,0.49,2
per_action_kmeans,additive_noise,0.01,0.59,2
per_action_kmeans,additive_noise,0.03,0.605,2
per_action_kmeans,additive_noise,0.06,0.58,2
per_action_kmeans,additive_noise,0.1,0.56,2
per_action_kmeans,additive_noise,0.2,0.55,2
per_action_kmeans,additive_noise,0.4,0.515,2
per_action_kmeans,additive_noise,0.8,0.455,2
per_action_kmeans,directional_shift,0.01,0.59,2
per_action_kmeans,directional_shift,0.03,0.585,2
